# kappa_0 kappa_1 kappa_2 kappa_3 kappa_4 kappa_5 kappa_6 eta_0 eta_1 eta_2 eta_3 eta_4 eta_5 eta_6 phi_0 phi_1 phi_2 phi_3 phi_4 phi_5 phi_6 T mu_0 mu_1 mu_2 mu_3 mu_4 mu_5 mu_6 
0.403891896186 0.015504429658 -0.103190946058 0.001997049117 0.017898860025 -0.143252940204 -0.143689559039 0.410782560436 0.020579683670 -0.078672538177 0.009656835614 0.022504085138 -0.114779310123 -0.115202704176 10.000000000000 0.100000000000 0.100000000000 0.100000000000 0.100000000000 0.100000000000 0.100000000000 0.000000000000 -0.137813284993 -0.001015050802 -0.004903681576 -0.001531957299 -0.000921045023 -0.005694726016 -0.005697370972
0.511604145578 0.088444608988 0.048706576893 0.093375276341 0.057502250564 0.126097249574 -0.102646386132 0.509844262935 0.084647570471 0.046672838183 0.090620791746 0.055359734541 0.125716149794 -0.079409510710 10.000000000000 0.100000000000 0.100000000000 0.100000000000 0.100000000000 0.100000000000 0.100000000000 0.000000000000 0.035197652876 0.000759407703 0.000406747742 0.000550896919 0.000428503205 0.000076219956 -0.004647375084
0.367261455645 0.198254770278 -0.019652217495 -0.127574621980 -0.001303001238 -0.053728810432 -0.026005391115 0.377001514722 0.175177840195 -0.007339165648 -0.100415723679 0.006327430553 -0.037003411832 -0.012451489307 10.000000000000 0.100000000000 0.100000000000 0.100000000000 0.100000000000 0.100000000000 0.100000000000 0.000000000000 -0.194801181555 0.004615386017 -0.002462610370 -0.005431779660 -0.001526086358 -0.003345079720 -0.002710780362
0.773991394918 -0.032442806877 -0.016971157532 0.053140580608 -0.185220014002 -0.049222457486 -0.067329888188 0.757273874562 -0.014702002407 -0.004646376841 0.042033075775 -0.117244111072 -0.025859010669 -0.037996868559 10.000000000000 0.100000000000 0.100000000000 0.100000000000 0.100000000000 0.100000000000 0.100000000000 0.000000000000 0.334350407124 -0.003548160894 -0.002464956138 0.002221500967 -0.013595180586 -0.004672689363 -0.005866603926
0.771814368390 -0.038445995344 -0.053622464051 0.041198118407 -0.191744621127 -0.046403235062 -0.005358405651 0.755234136902 -0.018826081107 -0.028949573038 0.034169841375 -0.122144584760 -0.024113596189 0.003036352101 10.000000000000 0.100000000000 0.100000000000 0.100000000000 0.100000000000 0.100000000000 0.100000000000 0.000000000000 0.331604629755 -0.003923982847 -0.004934578203 0.001405655406 -0.013920007274 -0.004457927775 -0.001678951550
0.214104617753 -0.034535580756 0.039433825550 0.063079362117 -0.026023750831 -0.042825958240 -0.040333933313 0.232757174590 -0.021486789895 0.043987859353 0.064697144226 -0.014089330504 -0.029162610896 -0.026154848630 10.000000000000 0.100000000000 0.100000000000 0.100000000000 0.100000000000 0.100000000000 0.100000000000 0.000000000000 -0.373051136732 -0.002609758172 -0.000910806761 -0.000323556422 -0.002386884065 -0.002732669469 -0.002835816937
0.485651944594 -0.069953815373 -0.088628869868 -0.068718811214 0.063974254709 -0.113467533848 -0.208000591233 0.486314190894 -0.046409466131 -0.063033943894 -0.046504658364 0.060021651562 -0.088936711437 -0.192367816785 10.000000000000 0.100000000000 0.100000000000 0.100000000000 0.100000000000 0.100000000000 0.100000000000 0.000000000000 -0.013244925998 -0.004708869848 -0.005118985195 -0.004442830570 0.000790520629 -0.004906164482 -0.003126554890
0.528339706399 -0.023974074432 -0.173652498776 0.034773267161 -0.151752217250 -0.161598060704 -0.058948771317 0.525161705949 -0.009890633085 -0.145245143937 0.031841515792 -0.121814163910 -0.132457182236 -0.034893603285 10.000000000000 0.100000000000 0.100000000000 0.100000000000 0.100000000000 0.100000000000 0.100000000000 0.000000000000 0.063560009003 -0.002816688269 -0.005681470968 0.000586350274 -0.005987610668 -0.005828175694 -0.004811033607
0.580366820706 0.104184996026 -0.141223776336 0.109525587066 0.048513681607 0.030022094253 0.014410226051 0.574353786422 0.095845718325 -0.110898458115 0.098872022825 0.045726468009 0.031517083226 0.020115246791 10.000000000000 0.100000000000 0.100000000000 0.100000000000 0.100000000000 0.100000000000 0.100000000000 0.000000000000 0.120260685682 0.001667855540 -0.006065063644 0.002130712848 0.000557442720 -0.000298997795 -0.001141004148
0.545078184676 0.100992959382 -0.109139512650 0.072195013567 -0.004267869500 0.039931624817 0.046754451012 0.541233609837 0.102000697337 -0.090282065219 0.073718516728 0.004759478051 0.043234466322 0.050094824236 10.000000000000 0.100000000000 0.100000000000 0.100000000000 0.100000000000 0.100000000000 0.100000000000 0.000000000000 0.076891496778 -0.000201547591 -0.003771489486 -0.000304700632 -0.001805469510 -0.000660568301 -0.000668074645
